dist,type,subtype,date,cost,address,purpose,lat,lon
6,Building Residential Rehab Storm Damage,Single Family Residence,2021-12-01T00:00:00.000,43537,1215  SHELBY AVE,"Rebuild the front porch and make other repairs from damages during the March 2020 Tornado.  MHZC MUST REVIEW APPLICATION.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.170931,-86.748061
6,Building Demolition Storm Damage,Demolition Permit - Residential,2020-03-10T00:00:00.000,3500,1909  RUSSELL ST,"to demolish existing storm damaged detached garage.  not to be burned on lot.  MHZC must review application.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.173853,-86.735982
6,Building Demolition Storm Damage,Demolition Permit - Commercial,2020-04-14T00:00:00.000,46350,961  WOODLAND ST  100,"Remove top of building and leave the bottom from March 3, 2020 tornado.  MDHA Overlay.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.176692,-86.752084
6,Building Residential Rehab Storm Damage,Single Family Residence,2020-04-16T00:00:00.000,1104,2410  LAZENBY DR,"Repair roof, general rehab inside with drywall repairs and cosmetic changes (tile and vanities for bathrooms, kitchen cabinets, flooring).  remains single family residence.  no increase to building footprint.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.174826,-86.720512
6,Building Residential Rehab Storm Damage,Single Family Residence,2020-09-23T00:00:00.000,108041,116 S 12TH ST,"REPLACING FRAMING AND SHINGLES OF ROOF DAMAGED BY MARCH 3RD TORNADO.  MHZC must review application.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.175859,-86.748682
6,Building Commercial Rehab Storm Damage,"General Office, Professional Services",2020-05-22T00:00:00.000,74072,944  WOODLAND ST,"tear off and reroof storm damaged roof approx. less than 5000 sq.ft.�.**reviewed scope of work attached to this file and available for applicant to download for job site**...
POC TY CARTER 615-785-1181",36.176264,-86.753175
6,Building Commercial Rehab Storm Damage,"Retail, Department / Retail Stores",2020-08-31T00:00:00.000,400000,953  MAIN ST,"head merch Repair and rebuild existing structure at 953 Main St. Less than 50% of structure has been
damaged. We are repairing and replacing the elements that have been damaged by the tornado and
renovating the interior. Minor improvements to exterior: replacing windows, rebuilding corner of
structure, replacing roof with new insulation and single ply membrane - bringing entirety of roof up
to code. Building use to remain as office/business. Site to remain as is with new parking striping
POC MANLEY SEELE",36.177584,-86.752986
6,Building Demolition Storm Damage,Demolition Permit - Residential,2020-04-14T00:00:00.000,8000,1900  HOLLY ST,"Estimated cost of demo $8,000.00. Demo due to storm damage residence from March 3, 2020.  not to be burned on lot.  MHZC must review application.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.174952,-86.736473
6,Building Demolition Permit,Demolition Permit - Residential,2021-03-26T00:00:00.000,10000,1417  RUSSELL ST,"to demolish remaining structure damaged by storm.  not to be burned on lot.  MHZC must review application.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.174635,-86.744515
6,Building Residential Rehab Storm Damage,Single Family Residence,2020-07-27T00:00:00.000,42178,121 S 11TH ST,"Storm damage. Rebuild front porch exactly as it was prior to storm. No increase in footage. MDHA and Historic to review. No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill.
Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) � 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage.",36.176108,-86.750058
6,Building Residential Rehab Storm Damage,Single Family Residence,2020-08-26T00:00:00.000,75000,1307  HOLLY ST,"RESTRICTIVE COVENANT FOR DETACHED STRUCTURE RECORDED 2020129-0126226CSTEPHENS (10-30-2020 01:13PM)
rebuilding a detached garage due to tornado damage. The slab is was setting on is still existing and did not move. I have a call in for Alex Hayes to see if we can build back on the slab or have to replace it.  the garage was complete on the outside but was unfinished on the inside with minimum electric , 1 pedestrian door, one window and one garage car door. The building will go back identical to its original state.  MHZC must review application.  not to be used for living or commercial purposes.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.175893,-86.746651
6,Building Residential - Addition,Single Family Residence,2020-08-21T00:00:00.000,169708,804 N 16TH ST,"Scope of work includes a dormer addition and renovations to existing house (LB). New interior finishes throughout both floors.  also adding new rear dormer.  New bathroom and Kitchen.  Relocating plumbing, electric, and HVAC in the project.  Approx. 1100 square feet in the project.  No exterior work aside from a new Rear exit door, Replacement windows,  and new Storm windows on the front.  All frontal facing windows will remain the same for historic purposes.  remains single family residence.  MHZC must review application.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.185044,-86.741081
6,Building Residential New Storm Damage,Detached Accessory Dwelling Unit,2020-06-30T00:00:00.000,80867,1204B  WOODLAND ST,"RESTRICTIVE COVENANT FOR ACCESSORY DWELLING, DETACHED HISTORICAL RECORDED 2020026240068081
AROBINSON (06-29-2020 10:05AM)
Storm Damage. Rebuild the DADU that was permitted in 2015, 201505827, as approved by the MHZC, 201500086. See attached. MHZC to review.

No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill.

Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) � 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage.",36.17714,-86.748017
6,Building Residential Rehab Storm Damage,"Multifamily, Townhome",2020-06-24T00:00:00.000,20000,801  MAIN ST,"Storm Damage. Rehab includes: drywall cracks (vacuum pressure) - aprox 4 different places, siding spot fixes - 4 spots, 4 broken windows, garage door replacement. POC: David Dunn, 432-559-1660. Applicant applied for a self-permit and will act as his/her own general contractor with full responsibility for code compliance, for hiring and employing individuals and subcontractors, and with ultimate responsibility for his/her own work and for the work of others. Acting as his/her general contractor, applicant may forfeit certain protections which might be available to him/her through the State of Tennessee general contractor�s licensing process. Applicant, as a self-build permit holder, is further responsible for requesting all required inspections and completing all authorized work in compliance with applicable adopted codes. Separate permits are required for any electrical, plumbing and gas/mechanical work and are not part of the building permit.
No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill.",36.175399,-86.758654
6,Building Residential Rehab Storm Damage,Single Family Residence,2020-05-27T00:00:00.000,5000,123 S 17TH ST,"Storm damage rpair to roof and siding and structure from March 3, 2020.  remains single family residence.  MHZC must review application.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.174803,-86.739609
6,Building Demolition Storm Damage,Demolition Permit - Commercial,2020-03-23T00:00:00.000,20000,918  MAIN ST,Storm Damage. Demolish and remove storm damaged structure. Work per this permit must commence within thirty (30) days of issuance* and be completed sixty (60) days after commencement. This permit expires ninety (90) days of its issuance. Please call 811 before you dig. No construction and demolition waste will be stored on the property and the person demolishing a dwelling or structure is responsible to remove from the premises all demolition debris resulting from such demolition and to properly dispose of all demolition debris in an approved landfill. Not to be burned on lot.,36.176517,-86.755741
6,Building Residential Rehab Storm Damage,Single Family Residence,2021-02-09T00:00:00.000,800000,121 S 17TH ST,"Repair to existing house structure due to storm damage.  MHZC MUST REVIEW APPLICATION.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.175042,-86.739576
6,Building Residential Rehab Storm Damage,Single Family Residence,2020-10-30T00:00:00.000,9500,1407  RUSSELL ST,"Need Permit so electrical can be pulled and then electrician can reconnect electricity for storm damaged residence.  remains single family residence.  MHZC must approve application.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  APPLICANT DID NOT PROVIDE CONTRACT AMOUNT.",36.174739,-86.745533
6,Building Residential - Rehab,Single Family Residence,2020-03-16T00:00:00.000,10000,1520  SHELBY AVE,"to rewire and install new electric service to residence.  remains single family residence.  no increase to building footprint.  subject to inspectors approval.  this residence not involved in March 3,2020 storm.  MHZC must approve application.",36.170487,-86.743069
6,Building Residential New Storm Damage,Duplex,2020-08-13T00:00:00.000,171555,609  NEWHALL DR,"To construct back tornado damaged zero lot line duplex unit. Heated square footage 1415. Porch 187. No garage.  must comply with SBCCI section 403.3 and metro council bill 1984-390.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.175601,-86.723232
6,Building Residential Rehab Storm Damage,Single Family Residence,2020-05-28T00:00:00.000,30000,610  NEWHALL DR,"To repair tornado damage to structure - NO CHANGES TO EXISTING FOOTPRINT.  remains single family residence.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.175714,-86.723189
6,Building Residential Rehab Storm Damage,Single Family Residence,2020-03-05T00:00:00.000,50000,1506  RUSSELL ST,"STORM DAMAGE. Rehab to include interior and exterior work. Roof shingles and some decking, interior ceiling and drywall, some windows to be replaced. No significant structural work and no change to building footprint. No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill.
Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) � 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage.",36.174564,-86.743692
6,Building Demolition Storm Damage,Demolition Permit - Residential,2020-04-06T00:00:00.000,8000,1812  HOLLY ST,"Estimated demo cost $8,000.00. Demo is due to tornado related damage of March 2, 2020.  not to be burned on lot.  MHZC must review application.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.175005,-86.737071
6,Building Residential Rehab Storm Damage,Single Family Residence,2020-09-10T00:00:00.000,310000,1907  HOLLY ST,"Reconstruction of storm damaged home from tornado.  MHZC MUST REVIEW APPLICATION.  NO CHANGE TO BUILDING FOOTPRINT.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  APPLICANT HAS NOT PROVIDED SQUARE FOOTAGE OF PROPOSED NEW RESIDENCE.",36.174911,-86.735977
6,Building Residential - New,Single Family Residence,2019-07-02T00:00:00.000,323531,907 S 12TH ST,"PLANS ATTACHED.  Construct single family residence (3590 gross sq ft, 2900 heated/cooled).  Minimum setback requirements: 27.2' front, 5' side, 20' rear.  Existing structure demolished under permit 2019022769.  Sidewalks will be installed per metro standards.  Site plan includes french drain per storm water calculations.  Will comply with tree regulations and place signs per metro 2017-835.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  PUBLIC WORKS AND STORM WATER STAFFS PLEASE NOTE:  SIDEWALKS ARE PRESENT ON EXISTING STREET.  THEREFORE, FULL COMPLIANCE WITH METRO COUNCIL BILL 2016-493 IS REQUIRED.  PLEASE REVIEW THIS  APPLICATION ACCORDINGLY.",36.164549,-86.749846
6,Building Commercial Rehab Storm Damage,"Warehouse, Storage S-1",2020-06-11T00:00:00.000,431572,800  MAIN ST,"tear off and reroof 32,000 sq.ft. 
POC PETE COGGIN 931-982-1899
Code Approved Stamped plans at B desk and attached in Cityworks.",36.175329,-86.758825
6,Building Residential Rehab Storm Damage,Single Family Residence,2020-07-31T00:00:00.000,90000,1608  HOLLY ST,"***MARCH 3, 2020 TORNADO DAMAGE***

TO CONDUCT REPAIRS TO EXISITING SINGLE FAMILY RESIDENCE DAMAGED BY MARCH 3, 2020 TORNADO� �REAR PORCH TO BE REBUILT AND ENCLOSED... ...NO CHANGE TO BUILDING FOOTPRINT� �MUST COMPLY WITH NEIGHBORHOOD CONSERVATION OVERLAY... ...",36.175398,-86.741202
6,Building Residential - Addition,Single Family Residence,2020-11-02T00:00:00.000,105843,1807  RUSSELL ST,"To construct rear addition with 873 Sq Ft footprint including screened porch. Remodel due to storm damage  of existing structure. See historical permit, 2020049035. Sidewalk plan, site plan, building plan attached. This permit is for home only, does not include DADU.  MHZC MUST REVIEW APPLICATION.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.174007,-86.737729
6,Building Residential Rehab Storm Damage,Single Family Residence,2020-08-03T00:00:00.000,200000,1506  RUSSELL ST,"Rehab due to storm damage on exterior siding, roof, porches. Roof to be torn off and reframed and reroofed. Adding a dormer also. Interior renovation from unfinished attic space to finished living area to include bathroom, closet, and bedroom. Some cosmetic repairs throughout the house. Adding staircase from ground floor to finished attic. See Historic Permit # 2020037042. This was previously permitted under permit # CARL 2020014297 which has been canceled because of the change in scope to the interior.  remains single family residence.  MHZC must review application.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.174564,-86.743692
6,Building Commercial Rehab Storm Damage,"General Office, Professional Services",2020-03-27T00:00:00.000,150000,955  WOODLAND ST,"to conduct interior and exterior renovations from tornado damage to existing office building for TN Disability Coalition. no change to footprint. exterior work to be roof, deck, etc.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property. 
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.176601,-86.75232
6,Building Residential Rehab Storm Damage,Single Family Residence,2020-08-06T00:00:00.000,50000,807A  FATHERLAND ST,"Repair chimney and new roof. Damaged caused by the march tornado. also adding an exterior dormer to the roof.  MHZC must review application.  no increase to building footprint.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.172391,-86.756828
6,Building Residential New Storm Damage,"Accessory Structure, Carport",2020-06-05T00:00:00.000,57236,1909  OAKHILL DR,"to reconstruct 1185SF storm damaged carport. build back in same footprint. must comply with hcn2020025957
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property. 
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.175881,-86.73517
6,Building Residential New Storm Damage,Single Family Residence,2020-05-13T00:00:00.000,2400,1506  HOLLY ST,"House is complete loss. Will be tearing down.   DEMOLITION PERMIT ONLY.  SEPARATE PERMIT REQUIRED FOR REBUILD.  not to be burned on lot.  MHZC must review application.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.175609,-86.743519
6,Building Commercial Rehab Storm Damage,"General Office, Professional Services",2021-03-25T00:00:00.000,740340,1021  RUSSELL ST,"to conduct stabilization rehab on existing non-res building damaged by March 2, 2020 tornado.  per applicant, this permit is not for occupancy of building.  ** see related permits 202061053 and 2020077039**...MHZC must approved application.  POC KEITH BUSH AND JULIE DEBOW 615-850-5516",36.175761,-86.7508
6,Building Demolition Storm Damage,Demolition Permit - Residential,2020-04-03T00:00:00.000,8000,1813  HOLLY ST,"Estimated demo cost $8,000.00. Demo is due to tornado related damage of March 3, 2020.  not to be burned on lot.  MHZC must review application.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.175013,-86.737157
6,Building Residential Rehab Storm Damage,Single Family Residence,2020-03-26T00:00:00.000,80500,125 S 11TH ST,"Storm Damage. Partial demo and rehab. Rehab includes: roof repairs, including structural, window repair, rebuild 3 chimneys. MHZC TO REVIEW.
No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill.
Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) � 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage.",36.175829,-86.750105
6,Building Commercial - Roofing / Siding,"General Office, Professional Services",2020-08-31T00:00:00.000,500000,900  MAIN ST,"tear off and reroof storm Damaged
POC BJ BUSH 615-635-4657",36.176047,-86.757006
6,Building Residential Rehab Storm Damage,Single Family Residence,2020-08-04T00:00:00.000,86800,2638  BARCLAY DR,"to conduct interior and exterior renovations to existing storm damaged residence. no change to footprint. this permit to reflect change from contractor to owner.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property. 
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.175097,-86.719354
6,Building Residential Rehab Storm Damage,Single Family Residence,2020-07-27T00:00:00.000,100000,1405  RUSSELL ST,"Framing, roofing, flooring, windows, doors, siding
Home repair post tornado damage.  remains single family residence.  MHZC must review application.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",36.174756,-86.7457
6,Building Residential New Storm Damage,Detached Accessory Dwelling Unit,2020-09-14T00:00:00.000,88384,1813B  HOLLY ST,"to reconstruct storm damaged detached accessory dwelling of 729SF with 729SF of garage space. not to be over any easements.
must comply with hcn2020035344
Covenant 202000909-0102393 sent to file.
***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property. 
For every 50 feet of site frontage, a double-sided sign 24� x 36� in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",36.175013,-86.737157
